SPPARKS (19 Nov 2013 -- potts-ori branch)
seed 621398049
app_style	 potts/ori 1
dimension	 2
lattice		 sq/8n 1.0
read_dream3d	 filename initial.dream3d load_ori
create_sites boxCreating sites ...
  1048576 sites
  1048576 sites have 8 neighbors
  1048576 values

set_mobility	 binary theta_max 50 min_mobility 0.001
precompute    	 mobility

solve_style      tree
sector		 no

temperature	 0.9

stats            2000.0
diag_style	 grainsize filename stats.h5

dump txtfile text 500000 AGG_Sites.*.txt x y z 

dump		 1 dream3d 5000 agg_dump*.dream3d id site version 6.0 dataset SyntheticVolume
dump_modify	 1 pad 6

run              500000.0
Setting up run ...
      Time    Naccept    Nreject    Nsweeps        CPU    Ngrains
    138000    9411305          0          0        277       1413
    140000    9542250          0          0        280       1412
    142000    9673513          0          0        281       1409
    144000    9804282          0          0        283       1406
    146000    9936960          0          0        306       1402
    148000   10067692          0          0        310       1397
    150000   10197921          0          0        379       1395
    152000   10327171          0          0        382       1390
    154000   10455137          0          0        383       1388
    156000   10584375          0          0        386       1388
    158000   10715139          0          0        388       1385
    160000   10846476          0          0        392       1380
    162000   10977927          0          0        394       1377
    164000   11108026          0          0        395       1375
    166000   11237450          0          0        429       1366
    168000   11366703          0          0        431       1366
    170000   11495213          0          0        470       1363
    172000   11622456          0          0        471       1361
    174000   11750526          0          0        472       1355
    176000   11878352          0          0        489       1352
    178000   12005057          0          0        492       1348
    180000   12130357          0          0        499       1346
    182000   12257572          0          0        500       1340
    184000   12385349          0          0        501       1337
    186000   12512507          0          0        513       1334
    188000   12640007          0          0        515       1333
    190000   12767589          0          0        517       1328
    192000   12893042          0          0        519       1322
    194000   13020339          0          0        521       1317
    196000   13145537          0          0        523       1313
    198000   13272082          0          0        525       1305
    200000   13395748          0          0        528       1301
    202000   13519298          0          0        529       1298
    204000   13642055          0          0        531       1295
    206000   13765033          0          0        575       1290
    208000   13889814          0          0        598       1287
    210000   14012792          0          0        633       1285
    212000   14133299          0          0        634       1282
    214000   14254161          0          0        635       1280
    216000   14377834          0          0        637       1274
    218000   14496752          0          0        639       1269
    220000   14612757          0          0        708       1266
    222000   14727557          0          0        711       1264
    224000   14842042          0          0        712       1261
    226000   14956592          0          0        719       1260
    228000   15070908          0          0        721       1257
    230000   15182944          0          0        725       1252
    232000   15296038          0          0        726       1248
    234000   15408404          0          0        728       1246
    236000   15520073          0          0        730       1241
    238000   15632826          0          0        732       1239
    240000   15744881          0          0        734       1236
    242000   15857255          0          0        736       1233
    244000   15969786          0          0        737       1230
    246000   16082849          0          0        739       1224
    248000   16195070          0          0        741       1220
    250000   16306922          0          0        746       1218
    252000   16419047          0          0        748       1214
    254000   16530158          0          0        749       1213
    256000   16641083          0          0        751       1210
    258000   16752419          0          0        753       1206
    260000   16862278          0          0        756       1205
    262000   16971346          0          0        758       1203
    264000   17081121          0          0        759       1201
    266000   17192153          0          0        788       1196
    268000   17304235          0          0        843       1194
    270000   17417563          0          0        867       1190
    272000   17513826          0          0        872       1188
    274000   17595918          0          0        873       1184
    276000   17677125          0          0        875       1184
    278000   17758342          0          0        877       1181
    280000   17839739          0          0        899       1177
    282000   17921152          0          0        900       1176
    284000   18002766          0          0        900       1174
    286000   18083786          0          0        950       1173
    288000   18165032          0          0        952       1172
    290000   18245677          0          0        972       1169
    292000   18327035          0          0        973       1168
    294000   18407568          0          0        973       1166
    296000   18487749          0          0        979       1162
    298000   18567983          0          0        980       1156
    300000   18648174          0          0        982       1155
    302000   18728838          0          0        983       1152
    304000   18808364          0          0        984       1152
    306000   18890139          0          0        989       1149
    308000   18974911          0          0        990       1148
    310000   19061185          0          0        992       1146
    312000   19149166          0          0        993       1141
    314000   19237693          0          0        995       1138
    316000   19326613          0          0        996       1135
    318000   19415360          0          0        997       1133
    320000   19506490          0          0      1e+03       1130
    322000   19597738          0          0      1e+03       1126
    324000   19688169          0          0      1e+03       1126
    326000   19779075          0          0   1.03e+03       1124
    328000   19870264          0          0   1.03e+03       1122
    330000   19962429          0          0   1.09e+03       1119
    332000   20054703          0          0   1.09e+03       1117
    334000   20146875          0          0   1.09e+03       1117
    336000   20238689          0          0   1.13e+03       1113
    338000   20330482          0          0   1.13e+03       1111
    340000   20422509          0          0   1.17e+03       1107
    342000   20513301          0          0   1.17e+03       1104
    344000   20603064          0          0   1.17e+03       1102
    346000   20693201          0          0   1.17e+03       1100
    348000   20782249          0          0   1.17e+03       1099
    350000   20871041          0          0   1.18e+03       1094
